409,BANKNO1 ,26,EP.CLIQUE\ 
410,BANKNO1 ,27,LIGHT FAIT 
411,BANKNO1 ,28,CIRRUS 
412,BANKNO1 ,29,SOL-RX-PLS 
413,BANKNO1 ,30,30'-N:-P-* 
414,BANKNO1 ,31,PICK GUITR 
415,BANKNO1 ,32,ORCHESTRAL 
416,BASS1 ,1,FUNK BAS1 
417,BASS1 ,2,BASS B1 
418,BASS1 ,3,FRETLESS 2 
419,BASS1 ,4,BASS 1 
420,BASS1 ,5,BASS 2 
421,BASS1 ,6,BASS 3 
422,BASS1 ,7,E.BASS 2 
423,BASS1 ,8,PWM BASS 
424,BASS1 ,9,E.BASS SL2 
425,BASS1 ,10,UNCLEABE* 
426,BASS1 ,11,STUBES $ 1 
427,BASS1 ,12,E.BASS 1 
428,BASS1 ,13,DOLBY*BASS 
429,BASS1 ,14,RUBBER 3 
430,BASS1 ,15,FUNK BASS 
431,BASS1 ,16,CLEAN BASS 
432,BASS1 ,17,-METABASS- 
433 ,BASS1 ,18,METABASS 2 
434,BASS1 ,19,PICK BASS 
435,BASS1 ,20,CUTBASS 
436,BASS1 ,21,CUTBASS 2 
437,BASS1 ,22,BELLBASS 
438,BASS1 ,23,MARIMBASSL 
439,BASS1 ,24,PLUCK-BASS 
440,BASS1 ,25,BASS FLANG 
441,BASS1 ,26,BRO BASS 1 
442,BASS1 ,27,SUPER BASS 
443,BASS1 ,28,BASS 3A 
444,BASS1 ,29,DBASS 1 
445,BASS1 ,30,FRETLESS 1 
446,BASS1 ,31,PLUCK BASS 
447,BASS1 ,32,FRETLESS 2 
448,BASS_1 ,1,> DIGISLAP 
449,BASS_1 ,2,> EMUBASS1 
450,BASS_1 ,3,> EMUBASS2 
451,BASS_1 ,4,> ENVBASS1 
452,BASS_1 ,5,> ENVBASS2 
453,BASS_1 ,6,> ENVBASS3 
454,BASS_1 ,7,> ENVBASS4 
455,BASS_1 ,8,> FACEBASS 
456,BASS_1 ,9,> FM.BASS 
457,BASS_1 ,10,> MEAN5THS 
458,BASS_1 ,11,> MOOGBASS 
459,BASS_1 ,12,> PLKBASS 
460,BASS_1 ,13,> PPG-BASS 
461,BASS_1 ,14,> PULL-OFF 
462,BASS_1 ,15,> STAND-UP 
463,BASS_1 ,16,> SUB-BASS 
464,BASS_1 ,17,-METABASS- 
465 ,BASS_1 ,18,POP-BASS 
